Title,Author,ASIN,Publisher,Publication date,Language,File size,Text-to-Speech,Enhanced typesetting,X-Ray,Word Wise,Print length,Lending,Best Sellers Rank,Customer Reviews
Black Beauty (Graphic Revolve: Common Core Editions),,B0189AGYAW,"Stone Arch Books; Illustrated edition (December 21, 2015)","December 21, 2015",English,184109 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,72 pages,Not Enabled,"#2 in Teen & Young Adult Equestrian Fiction(https://www.amazon.com/gp/bestsellers/books/10368585011/ref=pd_zg_hrsr_books), #3 in Teen & Young Adult Equestrian Fiction eBooks(https://www.amazon.com/gp/bestsellers/digital-text/15249129011/ref=pd_zg_hrsr_digital-text), #19 in Children's Horse Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/155050011/ref=pd_zg_hrsr_digital-text)","4.3 out of 5 stars, 110 ratings"
Scaredy Squirrel at the Beach,,B00D3P8X4O,"Kids Can Press; Illustrated edition (April 1, 2008)","April 1, 2008",English,7226 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,32 pages,Not Enabled,"#31 in Children's Mice & Small Animal Stories(https://www.amazon.com/gp/bestsellers/digital-text/155062011/ref=pd_zg_hrsr_digital-text), #78 in Children's Sports & Outdoors Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156040011/ref=pd_zg_hrsr_digital-text), #145 in Children's Books on Emotions & Feelings(https://www.amazon.com/gp/bestsellers/digital-text/155883011/ref=pd_zg_hrsr_digital-text)","4.8 out of 5 stars, 301 ratings"
Jabari Jumps,Gaia Cornwall,B08JD3PCTB,"Candlewick Press (October 6, 2020)","October 6, 2020",English,11938 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,32 pages,Not Enabled,"#10 in Children's Water Sports Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156098011/ref=pd_zg_hrsr_digital-text), #28 in Children's Black & African American Stories(https://www.amazon.com/gp/bestsellers/digital-text/155850011/ref=pd_zg_hrsr_digital-text), #44 in Children's Water Sports Books (Books)(https://www.amazon.com/gp/bestsellers/books/3424/ref=pd_zg_hrsr_books)","4.9 out of 5 stars, 2,163 ratings"
Caballos paint/American Paint Horses (Cabollos/Horses) (Spanish Edition),Kim O'Brien,B07DNG9P33,"Capstone Press; Bilingual edition (August 1, 2012)","August 1, 2012",Spanish,45526 KB,Not enabled,Not Enabled,,Not Enabled,24 pages,Not Enabled,"#2 in Children's Multilingual Books(https://www.amazon.com/gp/bestsellers/digital-text/155856011/ref=pd_zg_hrsr_digital-text), #15 in Children's Spanish Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/7090583011/ref=pd_zg_hrsr_digital-text), #17 in Children's Nonfiction Sports Books(https://www.amazon.com/gp/bestsellers/digital-text/319909011/ref=pd_zg_hrsr_digital-text)","5.0 out of 5 stars, 1 rating"
Crazy About Horses: Everything Horse Lovers Need to Know,,B00N105U5G,"Capstone Press (November 1, 2014)","November 1, 2014",English,58997 KB,Enabled,Enabled,Enabled,Enabled,112 pages,Not Enabled,"#16 in Children's Nonfiction Sports Books(https://www.amazon.com/gp/bestsellers/digital-text/319909011/ref=pd_zg_hrsr_digital-text), #18 in Children's Horse Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/155050011/ref=pd_zg_hrsr_digital-text), #73 in Children's Sports & Outdoors Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156040011/ref=pd_zg_hrsr_digital-text)","4.5 out of 5 stars, 34 ratings"
Unbroken (The Young Adult Adaptation): An Olympian's Journey from Airman to Castaway to Captive,Laura Hillenbrand,B00JNQIYGY,"Delacorte Press; Reprint edition (November 11, 2014)","November 11, 2014",English,69231 KB,Enabled,Enabled,Enabled,Enabled,317 pages,Not Enabled,"#4 in Teen & Young Adult Historical Biography eBooks(https://www.amazon.com/gp/bestsellers/digital-text/7006490011/ref=pd_zg_hrsr_digital-text), #4 in Teen & Young Adult Military History eBooks(https://www.amazon.com/gp/bestsellers/digital-text/7006527011/ref=pd_zg_hrsr_digital-text), #6 in Teen & Young Adult Olympics & Paralympics(https://www.amazon.com/gp/bestsellers/books/13922514011/ref=pd_zg_hrsr_books)","4.8 out of 5 stars, 2,625 ratings"
Goodnight Hockey (Sports Illustrated Kids Bedtime Books),,B00UVOQ8HO,"Capstone Young Readers; Illustrated edition (August 1, 2015)","August 1, 2015",English,27742 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,33 pages,Not Enabled,"#1 in Children's Hockey Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156082011/ref=pd_zg_hrsr_digital-text), #64 in Baby & Toddler Bedtime & Dreaming Books(https://www.amazon.com/gp/bestsellers/digital-text/155131011/ref=pd_zg_hrsr_digital-text), #298 in Children’s Books(https://www.amazon.com/gp/bestsellers/digital-text/15195177011/ref=pd_zg_hrsr_digital-text)","4.9 out of 5 stars, 895 ratings"
Who Is Michael Jordan? (Who Was?),"Who HQ, Dede Putra, &, more",B07CWGKY24,"Penguin Workshop (February 5, 2019)","February 5, 2019",English,62421 KB,Enabled,Enabled,Not Enabled,Enabled,112 pages,Not Enabled,"#7 in Children's Basketball Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156073011/ref=pd_zg_hrsr_digital-text), #13 in Children's Sports Biographies (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/155769011/ref=pd_zg_hrsr_digital-text), #28 in Children's Nonfiction Sports Books(https://www.amazon.com/gp/bestsellers/digital-text/319909011/ref=pd_zg_hrsr_digital-text)","4.8 out of 5 stars, 1,814 ratings"
Booked (The Crossover Series),Kwame Alexander,B011H55HS6,"HMH Books for Young Readers; Reprint edition (April 5, 2016)","April 5, 2016",English,15690 KB,Enabled,Enabled,Enabled,Enabled,323 pages,Not Enabled,"#6 in Children's Soccer Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156094011/ref=pd_zg_hrsr_digital-text), #33 in Children's Black & African American Stories(https://www.amazon.com/gp/bestsellers/digital-text/155850011/ref=pd_zg_hrsr_digital-text), #479 in Children's Black & African American Story Books(https://www.amazon.com/gp/bestsellers/books/3095/ref=pd_zg_hrsr_books)","4.7 out of 5 stars, 1,041 ratings"
Jesse Owens: Athletes Who Made a Difference,"Blake Hoena, David Shephard",B08C9P715P,"Graphic Universe ™ (August 4, 2020)","August 4, 2020",English,14801 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,32 pages,Not Enabled,"#4 in Children’s Social Topics Comics & Graphic Novels(https://www.amazon.com/gp/bestsellers/digital-text/16232490011/ref=pd_zg_hrsr_digital-text), #5 in Children's Soccer Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156094011/ref=pd_zg_hrsr_digital-text), #14 in Children's Nonfiction Sports Books(https://www.amazon.com/gp/bestsellers/digital-text/319909011/ref=pd_zg_hrsr_digital-text)","5.0 out of 5 stars, 2 ratings"
What Club Should You Try? (Best Quiz Ever),,B00ULZHLU6,"45th Parallel Press (September 15, 2015)","September 15, 2015",English,34472 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,32 pages,Not Enabled,"#10 in Children's School & Education Books(https://www.amazon.com/gp/bestsellers/digital-text/155924011/ref=pd_zg_hrsr_digital-text), #15 in Children's Nonfiction Sports Books(https://www.amazon.com/gp/bestsellers/digital-text/319909011/ref=pd_zg_hrsr_digital-text), #22 in Children's Question & Answer Books(https://www.amazon.com/gp/bestsellers/digital-text/156060011/ref=pd_zg_hrsr_digital-text)","5.0 out of 5 stars, 1 rating"
Power at the Plate (Sports Illustrated Kids Graphic Novels),,B00ESEE7TY,"Stone Arch Books (April 1, 2014)","April 1, 2014",English,28754 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,56 pages,Not Enabled,"#7 in Children's Baseball Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156070011/ref=pd_zg_hrsr_digital-text), #14 in Children's Norse Folk Tales(https://www.amazon.com/gp/bestsellers/digital-text/155204011/ref=pd_zg_hrsr_digital-text), #37 in Children's Norse Literature(https://www.amazon.com/gp/bestsellers/books/2993/ref=pd_zg_hrsr_books)","4.3 out of 5 stars, 18 ratings"
Quidditch Through the Ages: A Harry Potter Hogwarts Library Book,J.K. Rowling,B01F3ET2SS,"Pottermore Publishing (May 9, 2016)","May 9, 2016",English,1630 KB,Enabled,Enabled,Enabled,Enabled,129 pages,Not Enabled,"#6 in Fantasy Sports (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156394011/ref=pd_zg_hrsr_digital-text), #10 in Fantasy Sports (Books)(https://www.amazon.com/gp/bestsellers/books/13021791/ref=pd_zg_hrsr_books), #67 in Children's Sports & Outdoors Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156040011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 2,134 ratings"
Sloths Don't Run,,B07L3CP1YN,"Rowboat Press (December 3, 2018)","December 3, 2018",English,12424 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,15 pages,Enabled,"#20 in Children's Mammal Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/155056011/ref=pd_zg_hrsr_digital-text), #58 in Children's Sports & Outdoors Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156040011/ref=pd_zg_hrsr_digital-text), #157 in Children's Mammal Books (Books)(https://www.amazon.com/gp/bestsellers/books/2843/ref=pd_zg_hrsr_books)","4.8 out of 5 stars, 380 ratings"
"My Strong Mind: A children's book about resilience, growth mindset, confidence, mental health and positive affirmations. Ideal for kids age 5, 6 or 7 (Social Skills & Mental Health for Kids 1)",Niels van Hove,B07CZT44S7,"Truebridges Media (May 10, 2018)","May 10, 2018",English,11844 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,16 pages,Enabled,"#3 in Children's Olympic Sports Books(https://www.amazon.com/gp/bestsellers/digital-text/156092011/ref=pd_zg_hrsr_digital-text), #206 in Children's Self-Esteem & Self-Respect(https://www.amazon.com/gp/bestsellers/digital-text/155893011/ref=pd_zg_hrsr_digital-text), #307 in Children's Books on Emotions & Feelings(https://www.amazon.com/gp/bestsellers/digital-text/155883011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 1,064 ratings"
What Kind of Sports Pro Are You? (Best Quiz Ever),,B00ULZHPQQ,"45th Parallel Press (September 15, 2015)","September 15, 2015",English,34027 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,32 pages,Not Enabled,"#13 in Children's Nonfiction Sports Books(https://www.amazon.com/gp/bestsellers/digital-text/319909011/ref=pd_zg_hrsr_digital-text), #19 in Children's Question & Answer Books(https://www.amazon.com/gp/bestsellers/digital-text/156060011/ref=pd_zg_hrsr_digital-text), #46 in Children's Social Situations Books(https://www.amazon.com/gp/bestsellers/digital-text/319898011/ref=pd_zg_hrsr_digital-text)","None, None"
All Thirteen: The Incredible Cave Rescue of the Thai Boys' Soccer Team (Newbery Honor Book),Christina Soontornvat,B085FS1XRL,"Candlewick Press; Illustrated edition (October 13, 2020)","October 13, 2020",English,73701 KB,Enabled,Enabled,Not Enabled,Enabled,289 pages,Not Enabled,"#4 in Children's Explore Asia Books(https://www.amazon.com/gp/bestsellers/digital-text/155778011/ref=pd_zg_hrsr_digital-text), #9 in Children's Buddhism Books(https://www.amazon.com/gp/bestsellers/books/13922596011/ref=pd_zg_hrsr_books), #18 in Children's Action & Adventure Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/155753011/ref=pd_zg_hrsr_digital-text)","4.8 out of 5 stars, 107 ratings"
Gritty Ninja: A Children’s Book About Dealing with Frustration and Developing Perseverance (Ninja Life Hacks 12),"Grow Grit Press, Jelena Stupar, Rebecca  Yee, &, more",B084TZRZHG,"Grow Grit Press LLC (February 15, 2020)","February 15, 2020",English,8964 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,31 pages,Enabled,"#1 in Children's Cycling Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156076011/ref=pd_zg_hrsr_digital-text), #5 in Cycling (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159852011/ref=pd_zg_hrsr_digital-text), #7 in Children's Christian Sports Fiction(https://www.amazon.com/gp/bestsellers/books/8944288011/ref=pd_zg_hrsr_books)","4.7 out of 5 stars, 603 ratings"
The Crossover (The Crossover Series),Kwame Alexander,B00E78IBAC,"HMH Books for Young Readers; Illustrated edition (March 18, 2014)","March 18, 2014",English,21176 KB,Enabled,Enabled,Enabled,Enabled,245 pages,Not Enabled,"#2 in Children's Basketball Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156073011/ref=pd_zg_hrsr_digital-text), #11 in Children's eBooks on Death, Grief & Bereavement(https://www.amazon.com/gp/bestsellers/digital-text/155860011/ref=pd_zg_hrsr_digital-text), #18 in Children's Disease Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/155973011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 2,668 ratings"
Junko Tabei Masters the Mountains (A Good Night Stories for Rebel Girls Chapter Book),,B084G9MRXX,"Rebel Girls; Illustrated edition (March 10, 2020)","March 10, 2020",English,40784 KB,Enabled,Enabled,Not Enabled,Enabled,126 pages,Not Enabled,"#2 in Children's Explorer Historical Fiction(https://www.amazon.com/gp/bestsellers/digital-text/155156011/ref=pd_zg_hrsr_digital-text), #10 in Children's Fictional Biographies(https://www.amazon.com/gp/bestsellers/digital-text/7090563011/ref=pd_zg_hrsr_digital-text), #21 in Children's Exploration Fiction(https://www.amazon.com/gp/bestsellers/books/2930/ref=pd_zg_hrsr_books)","4.8 out of 5 stars, 31 ratings"
You Can Be a Soccer Player (Barbie: You Can Be Series),"Devra Newberger Speregen, Dynamo Limited",B073C25DC8,"MATTEL, INC. and MATTEL EUROPA B.V. (October 10, 2017)","October 10, 2017",English,8432 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,17 pages,Not Enabled,"#4 in Children's Soccer Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156094011/ref=pd_zg_hrsr_digital-text), #17 in Children's Jobs & Careers Books(https://www.amazon.com/gp/bestsellers/digital-text/7090584011/ref=pd_zg_hrsr_digital-text), #17 in Children's Career Books(https://www.amazon.com/gp/bestsellers/digital-text/318469011/ref=pd_zg_hrsr_digital-text)","None, None"
Flying Start (Born to Ride Series Book 2),Samantha Walker,B08HYVWF5F,,"September 21, 2020",English,556 KB,Enabled,Enabled,Not Enabled,Enabled,343 pages,Enabled,"#77 in Children's Sports & Outdoors Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156040011/ref=pd_zg_hrsr_digital-text), #433 in Sports Fiction (Books)(https://www.amazon.com/gp/bestsellers/books/301912/ref=pd_zg_hrsr_books), #467 in Sports Fiction (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157071011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 25 ratings"
Beastly Basketball (Sports Illustrated Kids Graphic Novels),,B0189AGZ60,"Stone Arch Books (December 21, 2015)","December 21, 2015",English,66957 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,72 pages,Not Enabled,"#3 in Children's Basketball Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156073011/ref=pd_zg_hrsr_digital-text), #41 in Children's Basketball Books (Books)(https://www.amazon.com/gp/bestsellers/books/3404/ref=pd_zg_hrsr_books), #246 in Children's Animal Action & Adventure(https://www.amazon.com/gp/bestsellers/digital-text/10124607011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 159 ratings"
Mutant Origins: Donatello (Teenage Mutant Ninja Turtles),"Nickelodeon Publishing, Random House",B008V0ZQZK,"Nickelodeon Publishing (August 9, 2012)","August 9, 2012",English,10849 KB,Enabled,Enabled,Enabled,Enabled,128 pages,Not Enabled,"#8 in Children's Reptile & Amphibian Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/155074011/ref=pd_zg_hrsr_digital-text), #11 in Children's Martial Arts Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156085011/ref=pd_zg_hrsr_digital-text), #27 in Children's Non-religious Books(https://www.amazon.com/gp/bestsellers/digital-text/318481011/ref=pd_zg_hrsr_digital-text)","4.4 out of 5 stars, 53 ratings"
The Kissing Tutor: A Standalone Sweet High School Romance,Sally Henson,B07XXGW92X,"Dirt Road Press, Inc. (October 15, 2019)","October 15, 2019",English,2086 KB,Enabled,Enabled,Enabled,Enabled,324 pages,Enabled,"#4 in Teen & Young Adult Baseball & Softball Fiction(https://www.amazon.com/gp/bestsellers/books/10368583011/ref=pd_zg_hrsr_books), #5 in Teen & Young Adult Baseball & Softball Fiction eBooks(https://www.amazon.com/gp/bestsellers/digital-text/15249126011/ref=pd_zg_hrsr_digital-text), #5 in Children's Baseball Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156070011/ref=pd_zg_hrsr_digital-text)","4.3 out of 5 stars, 83 ratings"
Ghost (Track Book 1),Jason Reynolds,B01BKR46JW,"Atheneum/Caitlyn Dlouhy Books; Reprint edition (August 30, 2016)","August 30, 2016",English,1356 KB,Enabled,Enabled,Enabled,Enabled,210 pages,Not Enabled,"#12 in Children's Track & Field Books(https://www.amazon.com/gp/bestsellers/books/69240/ref=pd_zg_hrsr_books), #53 in Children's Sports & Outdoors Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156040011/ref=pd_zg_hrsr_digital-text), #242 in Children's Books on Friendship(https://www.amazon.com/gp/bestsellers/digital-text/155886011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 2,583 ratings"
Maniac Magee (Newberry Medal Book),Jerry Spinelli,B00HK6U9VC,"Little, Brown Books for Young Readers; 1st edition (January 28, 2014)","January 28, 2014",English,1516 KB,Enabled,Enabled,Enabled,Enabled,198 pages,Not Enabled,"#17 in Children's Runaway Books(https://www.amazon.com/gp/bestsellers/digital-text/318493011/ref=pd_zg_hrsr_digital-text), #29 in Children's Prejudice & Racism books(https://www.amazon.com/gp/bestsellers/digital-text/155866011/ref=pd_zg_hrsr_digital-text), #64 in Children's Sports & Outdoors Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156040011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 2,797 ratings"
Ninja!,Arree Chung,B00K9ODFNG,"Henry Holt and Co. (BYR); Illustrated edition (June 3, 2014)","June 3, 2014",English,12491 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,40 pages,Not Enabled,"#10 in Children's Martial Arts Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156085011/ref=pd_zg_hrsr_digital-text), #28 in Children's Martial Arts Books (Books)(https://www.amazon.com/gp/bestsellers/books/3416/ref=pd_zg_hrsr_books), #53 in Children's Siblings Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/155821011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 212 ratings"
Mutant Origins: Michaelangelo (Teenage Mutant Ninja Turtles),"Nickelodeon Publishing, Random House",B008V0ZWWW,"Nickelodeon Publishing (August 9, 2012)","August 9, 2012",English,8711 KB,Enabled,Enabled,Enabled,Enabled,39 pages,Not Enabled,"#9 in Children's Martial Arts Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156085011/ref=pd_zg_hrsr_digital-text), #25 in Children's Non-religious Books(https://www.amazon.com/gp/bestsellers/digital-text/318481011/ref=pd_zg_hrsr_digital-text), #27 in Children's Martial Arts Books (Books)(https://www.amazon.com/gp/bestsellers/books/3416/ref=pd_zg_hrsr_books)","4.3 out of 5 stars, 54 ratings"
Bikes for Sale,,B07HKT6KN1,"Chronicle Books LLC; Illustrated edition (April 2, 2019)","April 2, 2019",English,18233 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,40 pages,Enabled,"#9 in Children's Books on City Life(https://www.amazon.com/gp/bestsellers/digital-text/155899011/ref=pd_zg_hrsr_digital-text), #35 in Children's New Family Experiences Books(https://www.amazon.com/gp/bestsellers/digital-text/155816011/ref=pd_zg_hrsr_digital-text), #44 in Children's Sports & Outdoors Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156040011/ref=pd_zg_hrsr_digital-text)","4.4 out of 5 stars, 262 ratings"
The Outdoor Toddler Activity Book: 100+ Fun Early Learning Activities for Outside Play,Krissy Bonning-Gould,B07PJXFWYS,"Rockridge Press (March 19, 2019)","March 19, 2019",English,9397 KB,Enabled,Enabled,Not Enabled,Enabled,284 pages,Enabled,"#2 in Children's Camping Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156050011/ref=pd_zg_hrsr_digital-text), #48 in Children's Camping Books (Books)(https://www.amazon.com/gp/bestsellers/books/3381/ref=pd_zg_hrsr_books), #66 in Children's Nonfiction Game Books(https://www.amazon.com/gp/bestsellers/digital-text/319908011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 1,963 ratings"
Mutant Origins: Raphael (Teenage Mutant Ninja Turtles),"Nickelodeon Publishing, Random House",B008V0ZOB6,"Nickelodeon Publishing (August 9, 2012)","August 9, 2012",English,9392 KB,Enabled,Enabled,Enabled,Enabled,49 pages,Not Enabled,"#7 in Children's Martial Arts Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156085011/ref=pd_zg_hrsr_digital-text), #22 in Children's Non-religious Books(https://www.amazon.com/gp/bestsellers/digital-text/318481011/ref=pd_zg_hrsr_digital-text), #24 in Children's Martial Arts Books (Books)(https://www.amazon.com/gp/bestsellers/books/3416/ref=pd_zg_hrsr_books)","4.3 out of 5 stars, 54 ratings"
Let's Play Tennis! (Sammy Bird),V Moua,B07T9DZXKJ,,"July 7, 2019",English,13118 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,,Enabled,"#62 in Children's Sports & Outdoors Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156040011/ref=pd_zg_hrsr_digital-text), #117 in Children's Bird Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/155018011/ref=pd_zg_hrsr_digital-text), #312 in Children's Bird Books (Books)(https://www.amazon.com/gp/bestsellers/books/2796/ref=pd_zg_hrsr_books)","5.0 out of 5 stars, 4 ratings"
Goodnight Football (Fiction Picture Books),Michael Dahl,B00MEM7Z9G,"Capstone Young Readers; Illustrated edition (August 1, 2014)","August 1, 2014",English,21166 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,32 pages,Not Enabled,"#2 in Children's Football Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156077011/ref=pd_zg_hrsr_digital-text), #19 in Children's Football Books (Books)(https://www.amazon.com/gp/bestsellers/books/3408/ref=pd_zg_hrsr_books), #62 in Baby & Toddler Bedtime & Dreaming Books(https://www.amazon.com/gp/bestsellers/digital-text/155131011/ref=pd_zg_hrsr_digital-text)","4.9 out of 5 stars, 621 ratings"
Serena Williams: A Kid's Book About Mental Strength and Cultivating a Champion Mindset (Mini Movers and Shakers 7),"Grow Grit Press, Yuliia Zolotova, &, more",B08XK3GR87,"Grow Grit Press (February 24, 2021)","February 24, 2021",English,25588 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,39 pages,Enabled,"#1 in Racquetball (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159891011/ref=pd_zg_hrsr_digital-text), #2 in Children's Racket Sports Books(https://www.amazon.com/gp/bestsellers/books/3420/ref=pd_zg_hrsr_books), #3 in Tennis (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159894011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 27 ratings"
Mutant Origins: Leonardo (Teenage Mutant Ninja Turtles),"Nickelodeon Publishing, Random House",B008V0ZWLI,"Nickelodeon Publishing (August 9, 2012)","August 9, 2012",English,13493 KB,Enabled,Enabled,Enabled,Enabled,128 pages,Not Enabled,"#5 in Children's Martial Arts Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156085011/ref=pd_zg_hrsr_digital-text), #5 in Children's Reptile & Amphibian Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/155074011/ref=pd_zg_hrsr_digital-text), #19 in Children's Non-religious Books(https://www.amazon.com/gp/bestsellers/digital-text/318481011/ref=pd_zg_hrsr_digital-text)","4.4 out of 5 stars, 53 ratings"
Stone Fox (Harper Trophy Book),John Reynolds Gardiner,B003GYEGZW,"HarperCollins; Reissue, Anniversary edition (April 29, 2010)","April 29, 2010",English,7901 KB,Enabled,Enabled,Enabled,Enabled,107 pages,Not Enabled,"#4 in Children's Winter Sports Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156101011/ref=pd_zg_hrsr_digital-text), #7 in Children's Winter Sports Books (Books)(https://www.amazon.com/gp/bestsellers/books/3425/ref=pd_zg_hrsr_books), #23 in Children's Boys & Men Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/155772011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 1,576 ratings"
Karen's Roller Skates (Baby-sitters Little Sister Graphic Novel #2): A Graphix Book (Baby-Sitters Little Sister Graphix),Ann M. Martin,B07VWYGFN7,"Graphix; Adapted, Full-Color edition (July 7, 2020)","July 7, 2020",English,45274 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,128 pages,Enabled,"#16 in Children's Disease Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/155973011/ref=pd_zg_hrsr_digital-text), #50 in Children's Sports & Outdoors Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156040011/ref=pd_zg_hrsr_digital-text), #52 in Children’s Humorous Comics & Graphic Novels(https://www.amazon.com/gp/bestsellers/digital-text/16232485011/ref=pd_zg_hrsr_digital-text)","4.8 out of 5 stars, 2,281 ratings"
Ambitious Ninja: A Children's Book About Goal Setting (Ninja Life Hacks 45),,B08YS4SSLZ,"Grow Grit Press (March 11, 2021)","March 11, 2021",English,11563 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,35 pages,Enabled,"#4 in Children's Study Aids Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/155925011/ref=pd_zg_hrsr_digital-text), #8 in Children's Martial Arts Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156085011/ref=pd_zg_hrsr_digital-text), #10 in Children's Mystery & Wonders Books (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156000011/ref=pd_zg_hrsr_digital-text)","4.8 out of 5 stars, 21 ratings"
Manly Appetites: Minegishi Loves Otsu Vol. 1,,B08L8HDWWM,"Seven Seas (December 8, 2020)","December 8, 2020",English,217015 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,140 pages,Not Enabled,"#26 in LGBTQ+ Manga(https://www.amazon.com/gp/bestsellers/digital-text/6391521011/ref=pd_zg_hrsr_digital-text), #26 in Yaoi Manga(https://www.amazon.com/gp/bestsellers/digital-text/6391531011/ref=pd_zg_hrsr_digital-text), #68 in Humorous Manga(https://www.amazon.com/gp/bestsellers/digital-text/17744503011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 132 ratings"
