Title,Author,ASIN,Publisher,Publication date,Language,File size,Text-to-Speech,Enhanced typesetting,X-Ray,Word Wise,Print length,Lending,Best Sellers Rank,Customer Reviews
Trials and Tribulations - The Robinswood Story Book 3,Jean Grainger,B07XGFMB15,,"October 1, 2019",English,544 KB,Enabled,Enabled,Enabled,Enabled,302 pages,Enabled,"#22 in Historical Irish Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588812011/ref=pd_zg_hrsr_digital-text), #51 in 20th Century Historical Romance (Books)(https://www.amazon.com/gp/bestsellers/books/9059884011/ref=pd_zg_hrsr_books), #56 in Historical Mystery, Thriller & Suspense Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588800011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 1,337 ratings"
The Thing About Clare,Imogen Clark,B07CKRG8TN,"Lake Union Publishing (December 1, 2018)","December 1, 2018",English,2759 KB,Enabled,Enabled,Enabled,Enabled,316 pages,Not Enabled,"#6 in British & Irish Literature(https://www.amazon.com/gp/bestsellers/books/10159404011/ref=pd_zg_hrsr_books), #38 in British & Irish Literary Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588846011/ref=pd_zg_hrsr_digital-text), #45 in Psychological Literary Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588852011/ref=pd_zg_hrsr_digital-text)","3.9 out of 5 stars, 1,157 ratings"
A Love Portrait for the Silent Duke: A Historical Regency Romance Book,Bridget Barton,B09161TPMR,,"March 25, 2021",English,3543 KB,Enabled,Enabled,Not Enabled,Enabled,360 pages,Enabled,"#14 in Religious Historical Fiction (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/158437011/ref=pd_zg_hrsr_digital-text), #23 in American Historical Romance (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/17744542011/ref=pd_zg_hrsr_digital-text), #25 in Scottish Historical Romance (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/6361467011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 40 ratings"
The Secrets We Hide: An Enemies to Lovers College Bully Romance (The Four Book 2),Becca Steele,B0871K188F,,"April 30, 2020",English,1728 KB,Enabled,Enabled,Enabled,Enabled,272 pages,Enabled,"#11 in British Contemporary Literature(https://www.amazon.com/gp/bestsellers/digital-text/7588909011/ref=pd_zg_hrsr_digital-text), #14 in Contemporary British Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588744011/ref=pd_zg_hrsr_digital-text), #189 in Women's New Adult & College Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588895011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 367 ratings"
"Ride Dirty, Cowboy (Dirty Cowboy Book 2)",Elle Thorpe,B082RWM34Y,,"February 24, 2020",English,4605 KB,Enabled,Enabled,Enabled,Enabled,303 pages,Enabled,"#1 in Rodeos (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159895011/ref=pd_zg_hrsr_digital-text), #2 in Extreme Sports (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159840011/ref=pd_zg_hrsr_digital-text), #10 in Australian & Oceanian Literature(https://www.amazon.com/gp/bestsellers/digital-text/7588903011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 126 ratings"
Beyond the Tracks: A WW2 Novel Based on Harrowing True Events,Michael Reit,B08CVQPB9Z,,"September 17, 2020",English,3187 KB,Enabled,Enabled,Enabled,Enabled,442 pages,Enabled,"#9 in Historical Biographical Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588798011/ref=pd_zg_hrsr_digital-text), #10 in Jewish Historical Fiction(https://www.amazon.com/gp/bestsellers/books/9332128011/ref=pd_zg_hrsr_books), #12 in Jewish Literature (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157095011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 919 ratings"
The Silmarillion,,B007978PGI,"Houghton Mifflin Harcourt; Reissue edition (February 15, 2012)","February 15, 2012",English,5133 KB,Enabled,Enabled,Enabled,Enabled,357 pages,Not Enabled,"#2 in Children's Folk Tales & Myth Collections(https://www.amazon.com/gp/bestsellers/digital-text/155197011/ref=pd_zg_hrsr_digital-text), #8 in Classic British & Irish Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588782011/ref=pd_zg_hrsr_digital-text), #9 in Classic Fantasy eBooks(https://www.amazon.com/gp/bestsellers/digital-text/6809424011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 8,039 ratings"
Dark Kingdom: A Mafia Arranged Marriage Dark Romance (Russo Royals Book 3),Shanna Handel,B08THGVQLH,,"February 26, 2021",English,2618 KB,Enabled,Enabled,Enabled,Enabled,197 pages,Enabled,"#4 in Italian Literature (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157094011/ref=pd_zg_hrsr_digital-text), #14 in Gothic Romances(https://www.amazon.com/gp/bestsellers/books/276240011/ref=pd_zg_hrsr_books), #22 in Gothic Fiction(https://www.amazon.com/gp/bestsellers/books/10159332011/ref=pd_zg_hrsr_books)","4.6 out of 5 stars, 72 ratings"
The Sexy Stranger: A Billionaire Holiday Romance (International Bad Boys Set Book 1),JA Low,B089KPG86J,"JALowBooks (June 12, 2020)","June 12, 2020",English,938 KB,Enabled,Enabled,Not Enabled,Enabled,228 pages,Enabled,"#2 in Eastern European Literature (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157092011/ref=pd_zg_hrsr_digital-text), #5 in Italian Literature (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157094011/ref=pd_zg_hrsr_digital-text), #10 in British Contemporary Literature(https://www.amazon.com/gp/bestsellers/digital-text/7588909011/ref=pd_zg_hrsr_digital-text)","4.5 out of 5 stars, 88 ratings"
Finding Billie Romano (The Tour Series Book 5),Jean Grainger,B07VKDMWB7,,"July 21, 2019",English,2070 KB,Enabled,Enabled,Enabled,Enabled,450 pages,Enabled,"#13 in Jewish Literature (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157095011/ref=pd_zg_hrsr_digital-text), #16 in Jewish Literature & Fiction(https://www.amazon.com/gp/bestsellers/books/16004751/ref=pd_zg_hrsr_books), #93 in Saga Fiction(https://www.amazon.com/gp/bestsellers/digital-text/157058011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 699 ratings"
The Girl from Berlin: An utterly heart-wrenching and gripping World War Two historical novel,Kate Hewitt,B08QPZG2G3,"Bookouture (February 25, 2021)","February 25, 2021",English,2414 KB,Enabled,Enabled,Enabled,Enabled,449 pages,Enabled,"#7 in Historical Biographical Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588798011/ref=pd_zg_hrsr_digital-text), #9 in Jewish Literature (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157095011/ref=pd_zg_hrsr_digital-text), #12 in Jewish Literature & Fiction(https://www.amazon.com/gp/bestsellers/books/16004751/ref=pd_zg_hrsr_books)","4.6 out of 5 stars, 298 ratings"
The Virgin Who Seduced the Duke: A Steamy Historical Regency Romance Novel,Scarlett Osborne,B08Z8G6MC1,,"March 16, 2021",English,3486 KB,Enabled,Enabled,Not Enabled,Enabled,373 pages,Enabled,"#21 in American Historical Romance (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/17744542011/ref=pd_zg_hrsr_digital-text), #22 in Scottish Historical Romance (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/6361467011/ref=pd_zg_hrsr_digital-text), #29 in Scottish Historical Romance (Books)(https://www.amazon.com/gp/bestsellers/books/7538389011/ref=pd_zg_hrsr_books)","4.7 out of 5 stars, 47 ratings"
The Wolf Duke: A Valor of Vinehill Novel,K.J. Jackson,B07QCQNTQ9,"AWD Publishing (June 20, 2019)","June 20, 2019",English,1117 KB,Enabled,Enabled,Enabled,Enabled,313 pages,Enabled,"#9 in Historical Scottish Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588818011/ref=pd_zg_hrsr_digital-text), #16 in Scottish Historical Romance (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/6361467011/ref=pd_zg_hrsr_digital-text), #18 in British Historical Literature(https://www.amazon.com/gp/bestsellers/digital-text/7588910011/ref=pd_zg_hrsr_digital-text)","4.4 out of 5 stars, 295 ratings"
Bury Your Past: A chilling British detective crime thriller (The Hidden Norfolk Murder Mystery Series Book 2),J M Dalgliesh,B07YQZ1BC5,"Hamilton Press (November 19, 2019)","November 19, 2019",English,2159 KB,Enabled,Enabled,Enabled,Enabled,294 pages,Enabled,"#9 in British Contemporary Literature(https://www.amazon.com/gp/bestsellers/digital-text/7588909011/ref=pd_zg_hrsr_digital-text), #13 in Contemporary British Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588744011/ref=pd_zg_hrsr_digital-text), #19 in Hard-Boiled Mystery(https://www.amazon.com/gp/bestsellers/books/10468/ref=pd_zg_hrsr_books)","4.3 out of 5 stars, 2,394 ratings"
The Monks Hood Murders: A 1920s Murder Mystery with Heathcliff Lennox,Karen Baugh Menuhin,B08CHMCRK3,"Little Dog Publishing Ltd (August 29, 2020)","August 29, 2020",English,531 KB,Enabled,Enabled,Enabled,Enabled,296 pages,Enabled,"#6 in British & Irish Drama & Plays(https://www.amazon.com/gp/bestsellers/digital-text/157040011/ref=pd_zg_hrsr_digital-text), #12 in Christian Suspense(https://www.amazon.com/gp/bestsellers/digital-text/6190474011/ref=pd_zg_hrsr_digital-text), #15 in Christian Mystery & Suspense(https://www.amazon.com/gp/bestsellers/books/332929011/ref=pd_zg_hrsr_books)","4.7 out of 5 stars, 1,571 ratings"
Explosive (The Houston Defiance MC Series Book 1),K E Osborn,B08DTH8S28,,"August 24, 2020",English,5304 KB,Enabled,Enabled,Enabled,Enabled,301 pages,Enabled,"#9 in Australian & Oceanian Literature(https://www.amazon.com/gp/bestsellers/digital-text/7588903011/ref=pd_zg_hrsr_digital-text), #40 in Vigilante Justice(https://www.amazon.com/gp/bestsellers/digital-text/7130628011/ref=pd_zg_hrsr_digital-text), #42 in City Life Fiction (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/17744524011/ref=pd_zg_hrsr_digital-text)","4.5 out of 5 stars, 237 ratings"
You Let Me Go,Eliza Graham,B08HN92DLQ,"Lake Union Publishing (March 25, 2021)","March 25, 2021",English,3754 KB,Enabled,Enabled,Enabled,Enabled,316 pages,Not Enabled,"#5 in British & Irish Literature(https://www.amazon.com/gp/bestsellers/books/10159404011/ref=pd_zg_hrsr_books), #6 in Historical British & Irish Literature(https://www.amazon.com/gp/bestsellers/books/10090/ref=pd_zg_hrsr_books), #19 in British Historical Literature(https://www.amazon.com/gp/bestsellers/digital-text/7588910011/ref=pd_zg_hrsr_digital-text)","4.1 out of 5 stars, 19 ratings"
Death in Damascus: A 1920s Murder Mystery with Heathcliff Lennox,Karen Baugh Menuhin,B08547TQJM,"Little Dog Publishing (March 8, 2020)","March 8, 2020",English,690 KB,Enabled,Enabled,Enabled,Enabled,318 pages,Enabled,"#7 in British & Irish Drama & Plays(https://www.amazon.com/gp/bestsellers/digital-text/157040011/ref=pd_zg_hrsr_digital-text), #29 in Historical Mysteries (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157313011/ref=pd_zg_hrsr_digital-text), #31 in Noir Crime(https://www.amazon.com/gp/bestsellers/digital-text/7130625011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 1,285 ratings"
Friday's Child (Regency Romances Book 6),Georgette Heyer,B001S49AQW,"Sourcebooks Casablanca (April 1, 2008)","April 1, 2008",English,1021 KB,Enabled,Enabled,Enabled,Enabled,434 pages,Not Enabled,"#6 in Classic British & Irish Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588782011/ref=pd_zg_hrsr_digital-text), #13 in Classic Historical Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588784011/ref=pd_zg_hrsr_digital-text), #20 in Classic American Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588780011/ref=pd_zg_hrsr_digital-text)","4.5 out of 5 stars, 828 ratings"
The Tattooist of Auschwitz: A Novel,Heather Morris,B0756DZ4C1,"Harper Paperbacks; Illustrated edition (September 4, 2018)","September 4, 2018",English,6884 KB,Enabled,Enabled,Enabled,Enabled,249 pages,Not Enabled,"#8 in Historical Biographical Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588798011/ref=pd_zg_hrsr_digital-text), #9 in Jewish Historical Fiction(https://www.amazon.com/gp/bestsellers/books/9332128011/ref=pd_zg_hrsr_books), #10 in Jewish Literature (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157095011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 39,265 ratings"
1984,George Orwell,B003JTHWKU,"Houghton Mifflin Harcourt (October 17, 1983)","October 17, 1983",English,2679 KB,Enabled,Enabled,Enabled,Enabled,205 pages,Not Enabled,"#1 in Classic Science Fiction eBooks(https://www.amazon.com/gp/bestsellers/digital-text/6809435011/ref=pd_zg_hrsr_digital-text), #5 in Classic British & Irish Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588782011/ref=pd_zg_hrsr_digital-text), #8 in Political Fiction (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157069011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 41,787 ratings"
From Sand and Ash,Amy Harmon,B01DF0TM1Y,"Lake Union Publishing (December 1, 2016)","December 1, 2016",English,1111 KB,Enabled,Enabled,Enabled,Enabled,385 pages,Not Enabled,"#4 in Religious Historical Fiction (Books)(https://www.amazon.com/gp/bestsellers/books/12495/ref=pd_zg_hrsr_books), #6 in Religious Romance (Books)(https://www.amazon.com/gp/bestsellers/books/12500/ref=pd_zg_hrsr_books), #6 in Add Narration for $3.99 or Less(https://www.amazon.com/gp/bestsellers/digital-text/15435872011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 7,740 ratings"
The Dead Call: A chilling British detective crime thriller (The Hidden Norfolk Murder Mystery Series Book 6),J M Dalgliesh,B08DL4YXJ6,"Hamilton Press (November 1, 2020)","November 1, 2020",English,2183 KB,Enabled,Enabled,Not Enabled,Enabled,434 pages,Enabled,"#8 in British Contemporary Literature(https://www.amazon.com/gp/bestsellers/digital-text/7588909011/ref=pd_zg_hrsr_digital-text), #12 in Contemporary British Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588744011/ref=pd_zg_hrsr_digital-text), #25 in Pulp Thrillers(https://www.amazon.com/gp/bestsellers/digital-text/7130646011/ref=pd_zg_hrsr_digital-text)","4.4 out of 5 stars, 2,721 ratings"
The Lady of Larkspur Vale: Sweet Regency Romance (Ladies of Devon Book 2),Kasey Stockton,B08C4YQ5NL,"Golden Owl Press (August 3, 2020)","August 3, 2020",English,2912 KB,Enabled,Enabled,Enabled,Enabled,294 pages,Enabled,"#9 in Historical Christian Romance(https://www.amazon.com/gp/bestsellers/books/7259439011/ref=pd_zg_hrsr_books), #9 in Religious Historical Fiction (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/158437011/ref=pd_zg_hrsr_digital-text), #9 in Historical Christian Romance Fiction(https://www.amazon.com/gp/bestsellers/digital-text/8917426011/ref=pd_zg_hrsr_digital-text)","4.5 out of 5 stars, 420 ratings"
The Curse of Braeburn Castle: A Scottish Castle Murder Mystery (Heathcliff Lennox Book 3),Karen Baugh Menuhin,B07WT94HXV,"Little Dog Publishing; 1st edition (August 22, 2019)","August 22, 2019",English,481 KB,Enabled,Enabled,Enabled,Enabled,236 pages,Enabled,"#5 in British & Irish Drama & Plays(https://www.amazon.com/gp/bestsellers/digital-text/157040011/ref=pd_zg_hrsr_digital-text), #21 in Historical Mysteries (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157313011/ref=pd_zg_hrsr_digital-text), #22 in Noir Crime(https://www.amazon.com/gp/bestsellers/digital-text/7130625011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 1,757 ratings"
Braving the Outbreak with the Duke: A Clean & Sweet Regency Historical Romance Novel,Fanny Finch,B0917WJ94R,,"March 26, 2021",English,2383 KB,Enabled,Enabled,Not Enabled,Enabled,623 pages,Enabled,"#10 in Historical Christian Romance Fiction(https://www.amazon.com/gp/bestsellers/digital-text/8917426011/ref=pd_zg_hrsr_digital-text), #11 in Inspirational Religious Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588874011/ref=pd_zg_hrsr_digital-text), #12 in American Historical Romance (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/17744542011/ref=pd_zg_hrsr_digital-text)","4.8 out of 5 stars, 60 ratings"
The Ocean's Daughter,Corinne Beenfield,B0848MJZLP,"Radiate Publishing (January 26, 2020)","January 26, 2020",English,2291 KB,Enabled,Enabled,Not Enabled,Enabled,236 pages,Enabled,"#6 in Metaphysical Fiction(https://www.amazon.com/gp/bestsellers/digital-text/6520254011/ref=pd_zg_hrsr_digital-text), #11 in Historical Fantasy Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588799011/ref=pd_zg_hrsr_digital-text), #13 in British Historical Literature(https://www.amazon.com/gp/bestsellers/digital-text/7588910011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 85 ratings"
The Merger: A Billionaire Fake Marriage Romance (Playboys of New York Book 3),JA Low,B08GNZFGJ1,"JALowBooks (October 16, 2020)","October 16, 2020",English,607 KB,Enabled,Enabled,Not Enabled,Enabled,312 pages,Enabled,"#7 in Australian & Oceanian Literature(https://www.amazon.com/gp/bestsellers/digital-text/7588903011/ref=pd_zg_hrsr_digital-text), #174 in Contemporary Romance Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588748011/ref=pd_zg_hrsr_digital-text), #182 in Billionaire Romance(https://www.amazon.com/gp/bestsellers/books/17919110011/ref=pd_zg_hrsr_books)","4.5 out of 5 stars, 145 ratings"
The Dark Love Box Set: A Complete Billionaire Romance Series,Kat  T. Masen,B08WZ2J8B2,,"March 12, 2021",English,3675 KB,Enabled,Enabled,Enabled,Enabled,1656 pages,Enabled,"#8 in Australian & Oceanian Literature(https://www.amazon.com/gp/bestsellers/digital-text/7588903011/ref=pd_zg_hrsr_digital-text), #14 in Medical Fiction (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/6361438011/ref=pd_zg_hrsr_digital-text), #31 in City Life Fiction (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/17744524011/ref=pd_zg_hrsr_digital-text)","4.8 out of 5 stars, 25 ratings"
How to Cook your Way into an Earl’s Heart: A Clean & Sweet Regency Historical Romance Novel,Edith Byrd,B08ZL5YGJP,,"March 19, 2021",English,3599 KB,Enabled,Enabled,Not Enabled,Enabled,320 pages,Enabled,"#13 in Historical Christian Romance Fiction(https://www.amazon.com/gp/bestsellers/digital-text/8917426011/ref=pd_zg_hrsr_digital-text), #15 in Scottish Historical Romance (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/6361467011/ref=pd_zg_hrsr_digital-text), #17 in American Historical Romance (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/17744542011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 46 ratings"
The Hard Way Home (The Star and the Shamrock Book 3),Jean Grainger,B088HJ5312,,"June 29, 2020",English,3432 KB,Enabled,Enabled,Enabled,Enabled,244 pages,Enabled,"#7 in Jewish Literature (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157095011/ref=pd_zg_hrsr_digital-text), #8 in Jewish Historical Fiction(https://www.amazon.com/gp/bestsellers/books/9332128011/ref=pd_zg_hrsr_books), #9 in Jewish Literature & Fiction(https://www.amazon.com/gp/bestsellers/books/16004751/ref=pd_zg_hrsr_books)","4.7 out of 5 stars, 2,061 ratings"
Discovering Grace: A Regency Romance (Inglewood Book 2),Sally Britton,B07RWP2432,"Blue Water Books (August 13, 2019)","August 13, 2019",English,790 KB,Enabled,Enabled,Enabled,Enabled,224 pages,Enabled,"#8 in Historical Christian Romance(https://www.amazon.com/gp/bestsellers/books/7259439011/ref=pd_zg_hrsr_books), #8 in Historical Christian Romance Fiction(https://www.amazon.com/gp/bestsellers/digital-text/8917426011/ref=pd_zg_hrsr_digital-text), #9 in Inspirational Religious Fiction(https://www.amazon.com/gp/bestsellers/digital-text/7588874011/ref=pd_zg_hrsr_digital-text)","4.5 out of 5 stars, 312 ratings"
Mosby's Veterinary PDQ - E-Book: Veterinary Facts at Hand,Margi Sirois,B07D6RFYB5,"Mosby; 3rd edition (May 19, 2018)","May 19, 2018",English,6119 KB,Enabled,Enabled,Not Enabled,Not Enabled,324 pages,Not Enabled,"#12 in Veterinary Pharmacology(https://www.amazon.com/gp/bestsellers/books/227738/ref=pd_zg_hrsr_books), #92 in Veterinary Medicine (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157300011/ref=pd_zg_hrsr_digital-text)","4.8 out of 5 stars, 885 ratings"
ComPETability: Solving Behavior Problems In Your Multi-DOG Household,Amy Shojai,B0095ZJ2HS,"FurryMuse Publishing (September 3, 2012)","September 3, 2012",English,1528 KB,Enabled,Enabled,Not Enabled,Not Enabled,136 pages,Enabled,"#28 in Small Animal Veterinary Medicine (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157304011/ref=pd_zg_hrsr_digital-text), #32 in Biological Science of Dogs & Wolves(https://www.amazon.com/gp/bestsellers/digital-text/158630011/ref=pd_zg_hrsr_digital-text), #35 in Dog Care & Health (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156707011/ref=pd_zg_hrsr_digital-text)","4.0 out of 5 stars, 73 ratings"
Equus Lost?: How We Misunderstand the Nature of the Horse-Human Relationship--Plus Brave New Ideas for the Future,"Francesco De Giorgio, Jose De Giorgio-Schoorl",B06XTP23VZ,"Trafalgar Square Books (May 1, 2017)","May 1, 2017",English,3526 KB,Enabled,Enabled,Not Enabled,Enabled,162 pages,Not Enabled,"#12 in Equine Medicine (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157301011/ref=pd_zg_hrsr_digital-text), #67 in Equine Medicine (Books)(https://www.amazon.com/gp/bestsellers/books/227727/ref=pd_zg_hrsr_books), #161 in Equestrian Sports (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/159856011/ref=pd_zg_hrsr_digital-text)","3.9 out of 5 stars, 33 ratings"
Stinky Winky Silly Willy Off-key Donkey: A Fun Rhyming Animal Bedtime Book For Kids (Really Silly Wonky Songy Children's Books 1),Donald Jacobsen,B07HP38QP9,"Three Suns Press (September 25, 2018)","September 25, 2018",English,1225 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,25 pages,Enabled,"#11 in Equine Medicine (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157301011/ref=pd_zg_hrsr_digital-text), #24 in Horse Showing & Training (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156715011/ref=pd_zg_hrsr_digital-text), #30 in Horse Riding (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156714011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 330 ratings"
The Goldendoodle Handbook: The Essential Guide For New & Prospective Goldendoodle Owners (Canine Handbooks),Linda Whitwam,B01LZJ5DUT,,"September 19, 2016",English,13406 KB,Enabled,Enabled,Not Enabled,Not Enabled,276 pages,Enabled,"#27 in Small Animal Veterinary Medicine (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157304011/ref=pd_zg_hrsr_digital-text), #230 in Dog Breeds (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156706011/ref=pd_zg_hrsr_digital-text), #276 in Dog Training (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156708011/ref=pd_zg_hrsr_digital-text)","4.6 out of 5 stars, 550 ratings"
Cats: Homoeopathic Remedies,,B005F3GK74,"Ebury Digital; New Ed edition (August 31, 2011)","August 31, 2011",English,277 KB,Enabled,Enabled,Not Enabled,Enabled,194 pages,Not Enabled,"#56 in Homeopathy(https://www.amazon.com/gp/bestsellers/digital-text/156438011/ref=pd_zg_hrsr_digital-text), #85 in Veterinary Medicine (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157300011/ref=pd_zg_hrsr_digital-text), #144 in Pet Cats(https://www.amazon.com/gp/bestsellers/digital-text/156702011/ref=pd_zg_hrsr_digital-text)","4.3 out of 5 stars, 52 ratings"
The First-Aid Companion for Dogs & Cats (Prevention Pets),Amy  Shojai,B00DP1RR9S,"Rodale Books; 1st edition (February 7, 2001)","February 7, 2001",English,9247 KB,Enabled,Enabled,Not Enabled,Not Enabled,807 pages,Not Enabled,"#26 in Small Animal Veterinary Medicine (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157304011/ref=pd_zg_hrsr_digital-text), #84 in Safety & First Aid (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156562011/ref=pd_zg_hrsr_digital-text), #85 in Cat Training(https://www.amazon.com/gp/bestsellers/books/11160419011/ref=pd_zg_hrsr_books)","4.7 out of 5 stars, 480 ratings"
What Cats Should Eat: How to Feed Your Cat for Optimal Health,,B004NNUX9S,"www.vetwisepublishing.com; 3rd edition (June 24, 2014)","June 24, 2014",English,2151 KB,Enabled,Enabled,Not Enabled,Not Enabled,236 pages,Enabled,"#17 in Cats, Lions & Tigers Biology(https://www.amazon.com/gp/bestsellers/digital-text/158628011/ref=pd_zg_hrsr_digital-text), #18 in Food Animal Veterinary Medicine(https://www.amazon.com/gp/bestsellers/digital-text/157302011/ref=pd_zg_hrsr_digital-text), #20 in Cat Care & Health (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156704011/ref=pd_zg_hrsr_digital-text)","4.3 out of 5 stars, 88 ratings"
Veterinary Assisting Fundamentals and Applications (MindTap Course List),,B08QRTP6KN,"Cengage Learning; 002 edition (March 3, 2021)","March 3, 2021",English,112455 KB,Not enabled,Not Enabled,Not Enabled,Not Enabled,896 pages,Not Enabled,"#77 in Veterinary Medicine (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157300011/ref=pd_zg_hrsr_digital-text), #170 in Rabbit Pet Care(https://www.amazon.com/gp/bestsellers/books/5064/ref=pd_zg_hrsr_books), #512 in Veterinary Medicine (Books)(https://www.amazon.com/gp/bestsellers/books/227719/ref=pd_zg_hrsr_books)","None, None"
Cassie's Tale (Family of Rescue Dogs Book 3),Brian L. Porter,B07G81D9CF,"Creativia; 1st edition (August 6, 2018)","August 6, 2018",English,4702 KB,Enabled,Enabled,Not Enabled,Not Enabled,112 pages,Enabled,"#12 in Teen & Young Adult Literary Biography eBooks(https://www.amazon.com/gp/bestsellers/digital-text/7006491011/ref=pd_zg_hrsr_digital-text), #24 in Small Animal Veterinary Medicine (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/157304011/ref=pd_zg_hrsr_digital-text), #33 in Dog Care & Health (Kindle Store)(https://www.amazon.com/gp/bestsellers/digital-text/156707011/ref=pd_zg_hrsr_digital-text)","4.7 out of 5 stars, 74 ratings"
